,word1,word2,prediction
77,arch,roof,-0.7666424810886383
78,architecture,urban,-0.6629487872123718
79,area,space,-0.6898021996021271
80,argument,evidence,-0.7317074537277222
81,arm,bicycle,-0.7391370832920074
82,arm,television,-0.905592106282711
83,arrange,discard,-0.5764340758323669
84,arrange,study,-0.960275549441576
85,arrangement,blizzard,-0.9409869126975536
86,arrangement,room,-0.8723141998052597
87,art,craft,-0.7229951918125153
88,art,gem,-0.7534761875867844
89,art,museum,-0.4982008934020996
90,art,painting,-0.4662501811981201
91,article,cup,-0.9058245718479156
92,article,girl,-0.9801555499434471
93,ash,bone,-0.7702756822109222
94,ash,coil,-0.8013988584280014
95,asphalt,crane,-0.7267972826957703
96,asphalt,water,-0.7267253398895264
97,assets,exclude,-0.8198685497045517
98,association,organization,-0.6228920817375183
99,association,realtor,-0.7938448190689087
100,asylum,dollar,-0.8886407092213631
101,asylum,shelter,-0.7586032450199127
102,athletics,racing,-0.6798882186412811
103,athletics,swimming,-0.630056232213974
104,attempt,give,-0.9625093825161457
105,attempt,initiate,-0.8625776767730713
106,attitude,notice,-0.8592016696929932
107,attitude,study,-0.9266858100891113
108,attorney,lawyer,-0.3672165274620056
109,auto,bright,-0.8799028024077415
110,automobile,fabric,-0.882229745388031
111,automobile,racing,-0.7835652530193329
112,autumn,foliage,-0.4669305682182312
113,autumn,hat,-0.7858432531356812
114,autumn,sunshine,-0.5109948813915253
115,autumn,winter,-0.49535077810287476
116,award,citation,-0.4339870810508728
117,baby,treat,-0.8429732769727707
118,back,lumbar,-0.8286609202623367
119,back,shifting,-0.8690035492181778
120,bacon,bread,-0.31006646156311035
121,bacon,pepper,-0.5053074359893799
122,bacon,salad,-0.4373713731765747
123,bacon,tomato,-0.37287235260009766
124,bacon,wild,-0.7791538834571838
125,bag,cop,-0.8414709717035294
126,bag,flag,-0.8261894881725311
127,bakery,cake,-0.5885643362998962
128,bakery,vehicle,-0.803528368473053
129,balance,gauge,-0.7559621185064316
130,banana,salad,-0.5452257096767426
131,band,guitar,-0.4170351028442383
132,band,metal,-0.7948073297739029
133,band,play,-0.8218809217214584
134,band,uniform,-0.836511567234993
135,band,vinyl,-0.752212181687355
136,bank,smell,-1.03222219273448
137,bankruptcy,enterprise,-0.7712340354919434
138,bar,diner,-0.5230390131473541
139,bar,ship,-0.97074930742383
140,bar,stair,-0.8509995937347412
141,bar,sushi,-0.6011375486850739
142,barn,food,-0.8656391352415085
143,barrel,gallon,-0.42270129919052124
144,base,club,-0.8646842688322067
145,baseball,born,-0.9906543558463454
146,baseball,cactus,-0.7644031345844269
147,baseball,game,-0.5974507331848145
148,baseball,hockey,-0.5090521275997162
149,baseball,season,-0.7037959098815918
150,basket,dinner,-0.7535857111215591
151,basketball,lesson,-0.9190968498587608
152,basketball,squash,-0.7808933556079865
153,bat,bats,-0.3292829394340515
154,bath,bedroom,-0.5607661604881287
155,bath,floor,-0.6506275236606598
156,bath,hot,-0.5913352966308594
157,bath,sleep,-0.7074990570545197
158,bathroom,chamber,-0.8390074670314789
159,bay,curve,-0.9450903609395027
160,bay,harbour,-0.57410728931427
161,beach,cliff,-0.6296004354953766
162,beach,pebble,-0.7327365279197693
163,bead,chess,-0.8012376874685287
164,bead,gold,-0.8065722733736038
165,bead,redhead,-0.9935861662961543
166,beam,column,-0.8306191861629486
167,beard,hair,-0.3661022186279297
168,beat,meter,-0.7699342966079712
169,bed,candy,-0.7152619659900665
170,bed,floor,-0.6972653865814209
171,bed,furniture,-0.6565329432487488
172,bed,layer,-0.7939050942659378
173,bed,pillow,-0.4729698896408081
174,bed,relax,-0.7728458940982819
175,bed,sitting,-0.4849609136581421
176,bed,staircase,-0.7747549712657928
177,bedroom,canyon,-0.794210746884346
178,bedroom,ceiling,-0.5607371926307678
179,bedroom,cell,-0.8015006482601166
180,bedroom,construction,-0.9970642144326121
181,bedroom,door,-0.5745294690132141
182,bedroom,downtown,-0.856326699256897
183,bedroom,room,-0.4498164653778076
184,bedroom,stair,-0.7644191384315491
185,bedroom,staircase,-0.6419638395309448
186,beef,chicken,-0.25422751903533936
187,beef,lamb,-0.377868115901947
188,beef,pepper,-0.593964695930481
189,beef,potato,-0.5085028409957886
190,beer,patio,-0.6952063739299774
191,beer,wild,-0.8361428081989288
192,being,characters,-0.8240999728441238
193,believe,week,-0.9893131414428353
194,belly,black,-0.6447161734104156
195,belly,dance,-0.6594226956367493
196,belly,dark,-0.6912504732608795
197,belly,field,-0.9118700996041298
198,belly,stripe,-0.8523981720209122
199,bench,game,-0.5208888649940491
200,benefited,get,-0.9226429387927055
201,bent,double,-0.8072633743286133
202,bent,inclination,-0.7923230230808258
203,berlin,germany,-0.5882545113563538
204,berry,blossom,-0.678016722202301
205,berry,bright,-0.741352915763855
206,berry,dessert,-0.6279821991920471
207,berry,ivy,-0.823695182800293
208,berry,raspberry,-0.5698428452014923
209,berry,seed,-0.8341408669948578
210,berry,sweet,-0.6585568487644196
211,bias,prejudice,-0.40024447441101074
212,bible,misty,-0.9157411158084869
213,bicycle,green,-0.8325561881065369
214,bigger,large,-0.6422229409217834
215,bike,chopper,-0.7647309005260468
216,bikini,ivy,-0.8265379071235657
217,bin,cup,-1.0136344013735652
218,bird,cock,-0.6345891058444977
219,bird,dragonfly,-0.7984938472509384
220,bird,flamingo,-0.7506602555513382
221,bird,goose,-0.6673770546913147
222,bird,insect,-0.6550293266773224
223,bird,reptile,-0.6078954935073853
224,bird,shade,-0.8923399522900581
225,bird,solid,-0.9157925769686699
226,bishop,priest,-0.5881247818470001
227,bishop,radical,-0.8944687843322754
228,bishop,wine,-0.9591164663434029
229,bit,curb,-0.8639624565839767
230,bit,tool,-0.8717845231294632
231,bitter,taste,-0.8373437076807022
232,black,blue,-0.3598606586456299
233,black,bright,-0.5261037647724152
234,black,brown,-0.5581642389297485
235,black,cigarette,-0.7824644148349762
236,black,juvenile,-0.891007587313652
237,black,skirt,-0.49941420555114746
238,black,white,-0.5013504326343536
239,blast,smashing,-0.8583400398492813
240,blaze,pig,-0.9787672497332096
241,blessing,patronage,-0.7432110011577606
242,blizzard,rash,-0.8884854316711426
243,block,hinder,-0.5688042640686035
244,blonde,haircut,-0.6193056106567383
245,blonde,wig,-0.5845292508602142
246,bloom,flower,-0.5707066059112549
247,bloom,friend,-0.8634163439273834
248,bloom,plant,-0.8031308054924011
249,bloom,purple,-0.7347632050514221
250,blossom,bud,-0.6303354203701019
251,blossom,cherry,-0.505486249923706
252,blossom,daisy,-0.5243583023548126
253,blossom,foliage,-0.6690887212753296
254,blossom,orange,-0.6143531799316406
255,blossom,petal,-0.6437374949455261
256,blossom,purple,-0.6582152247428894
257,blow,contact,-0.9506687223911285
258,blow,swat,-0.9135951474308968
259,blowing,smoking,-0.8181073218584061
260,blue,colour,-0.7243880331516266
261,blue,happy,-0.9359789490699768
262,blue,report,-0.934369795024395
263,blue,shade,-0.6058290004730225
264,blue,skirt,-0.4723129868507385
265,blues,rhythm,-0.63625168800354
266,blur,focus,-0.8159987777471542
267,blur,metro,-0.8573951423168182
268,board,deal,-0.8253098428249359
269,boardwalk,park,-0.5030746459960938
270,boast,complain,-0.5327050983905792
271,boat,negro,-0.9138565212488174
272,boat,shore,-0.6173115968704224
273,bold,forward,-0.9111652970314026
274,bold,leader,-0.898752823472023
275,bone,skull,-0.5673662722110748
276,book,building,-0.9521220996975899
277,book,smoking,-0.9809764567762613
278,booklet,reference,-0.7311597764492035
279,boot,kick,-0.7829886972904205
280,boot,punch,-0.7749813199043274
281,bootleg,produce,-0.7571826428174973
282,bootleg,whiskey,-0.716906726360321
283,born,construction,-0.910741537809372
284,born,mother,-0.7019542455673218
285,born,subway,-0.9241923913359642
286,bottle,wine,-0.4961886405944824
287,bound,line,-0.835788682103157
288,bound,skirt,-0.9422016069293022
289,bowling,wheel,-0.9240427538752556
290,boxer,stair,-0.8796082884073257
291,boxing,hit,-0.9374895617365837
292,boy,hand,-0.838724821805954
293,boy,live,-0.9104394614696503
294,bracelet,jewelry,-0.5132171511650085
295,bracelet,mountain,-0.9202669858932495
296,brain,head,-0.87858946621418
297,brake,click,-0.8707754462957382
298,branch,tea,-0.9345061928033829
299,brass,executive,-0.9362182766199112
300,brazil,nut,-0.9309592172503471
301,brazil,triple,-0.8538607805967331
302,bread,bun,-0.5221937894821167
303,bread,cooking,-0.47274845838546753
304,bread,cover,-0.7510485947132111
305,bread,dessert,-0.39319443702697754
306,bread,egg,-0.4212472438812256
307,bread,medicine,-0.8731247037649155
308,break,glittering,-0.8920437172055244
309,break,scattered,-0.8593817204236984
310,breakfast,diner,-0.5135249495506287
311,breakfast,evening,-0.6987535953521729
312,breakfast,lunch,-0.416132390499115
313,breakfast,makeup,-0.8771538287401199
314,breakfast,morning,-0.7678622305393219
315,breakfast,people,-0.9594384543597698
316,breakfast,relax,-0.7928923070430756
317,brick,cement,-0.5239564478397369
318,brick,construction,-0.7719603031873703
319,brick,skyscraper,-0.7053137719631195
320,bride,photographer,-0.7950615584850311
321,bright,dark,-0.45662248134613037
322,bright,fruit,-0.6886555850505829
323,bright,mist,-0.7180235981941223
324,bright,raspberry,-0.6987470984458923
325,bright,shade,-0.598391979932785
326,bright,sky,-0.5718035697937012
327,bring,presenting,-0.8694388121366501
328,bring,return,-0.7172278165817261
329,broadcast,packet,-0.9505241066217422
330,bronze,sculpture,-0.6231081485748291
331,bronze,suspicion,-0.9645431973040104
332,brown,green,-0.468940794467926
333,brown,hawk,-0.8597531020641327
334,brown,purple,-0.6342017650604248
335,brown,white,-0.6091249287128448
336,brussels,sweden,-0.8295565843582153
337,bucket,water,-0.5933443903923035
338,bud,flower,-0.688954770565033
339,bud,ivy,-0.7515032738447189
340,budget,fund,-0.7876319289207458
341,budget,scale,-0.8773603588342667
342,bug,insect,-0.4987035393714905
343,building,cafe,-0.7382305562496185
344,building,construction,-0.4538746476173401
345,building,downtown,-0.5042102038860321
346,building,floor,-0.7211970090866089
347,building,ministry,-0.8521450906991959
348,building,tall,-0.7864138334989548
349,building,zombie,-0.9863580884411931
350,burger,cooking,-0.7561566680669785
351,burger,dessert,-0.651837021112442
352,burger,salad,-0.6515325605869293
353,burger,soup,-0.7562178522348404
354,burn,fire,-0.705562949180603
355,burn,ripple,-0.8870932906866074
356,bus,rail,-0.4588582515716553
357,business,railway,-0.8977734744548798
358,butter,stick,-0.7094752192497253
359,butterfly,caterpillar,-0.6675091683864594
360,butterfly,dragonfly,-0.6730895340442657
361,butterfly,glittering,-0.7112067937850952
362,button,sticker,-0.7961692661046982
363,cafe,child,-0.958186149597168
364,cafe,coffee,-0.57547727227211
365,cafe,dinner,-0.6034521162509918
366,cafe,donut,-0.7607306241989136
367,cafe,lunch,-0.5957940220832825
368,cafe,pub,-0.4427869915962219
369,cafe,reflection,-0.9333838224411011
370,cafe,relax,-0.8795445337891579
371,cafe,shop,-0.5372395217418671
372,cafe,spiral,-0.8704082071781158
373,cake,christmas,-0.7472716867923737
374,call,meeting,-0.8606662750244141
375,call,statement,-0.8749341517686844
376,call,telephone,-0.5907147526741028
377,camel,desert,-0.7440239787101746
378,camp,camp,0.0
379,campaign,conspiracy,-0.8342753350734711
380,can,sketch,-0.9352196753025055
381,candidate,republic,-0.8944666385650635
382,canine,dog,-0.5489543676376343
383,canyon,landscape,-0.6575446128845215
384,canyon,river,-0.49917149543762207
385,car,insurance,-0.861547201871872
386,car,pig,-0.931573711335659
387,car,skull,-0.8825630694627762
388,card,playing,-0.8294081836938858
389,card,see,-0.9845259329304099
390,carrier,carrier,0.0
391,carrier,traveler,-0.7992570102214813
392,carrier,vehicle,-0.9469314552843571
393,carrot,memorial,-0.9451349042356014
394,carrot,salad,-0.3764112591743469
395,cart,wagon,-0.7155866920948029
396,cartoon,wit,-0.8049355894327164
397,case,clients,-0.962938230484724
398,cast,cast,0.0
399,cast,shoot,-0.8016856759786606
400,castle,patio,-0.8472157269716263
401,castle,ruin,-0.8726823478937149
402,cat,garden,-0.8439604640007019
403,catch,catching,-0.33186590671539307
404,catch,hooks,-0.7505658268928528
405,catching,perceive,-0.9134705141186714
406,catching,playing,-0.6795069575309753
407,category,flavor,-0.8804744109511375
408,catering,loan,-0.9141751006245613
409,caterpillar,paint,-0.8519850075244904
410,cathedral,step,-0.8899360373616219
411,cattle,goat,-0.7040964365005493
412,cattle,web,-0.9696331080049276
413,cautious,film,-0.9423367828130722
414,ceiling,marble,-0.5429076254367828
415,ceiling,mug,-0.9570671133697033
416,ceiling,room,-0.6568174958229065
417,ceiling,staircase,-0.5405365526676178
418,ceiling,wall,-0.6251392364501953
419,cell,membrane,-0.6643418967723846
420,cemetery,grave,-0.5673224627971649
421,cemetery,memorial,-0.49981987476348877
422,center,center,0.0
423,center,refer,-0.9744001477956772
424,century,period,-0.7747433632612228
425,century,temperature,-0.9311434105038643
426,ceramic,floor,-0.7541991323232651
427,chance,fortune,-0.9247001931071281
428,chance,opportunity,-0.47477883100509644
429,chance,ring,-0.9152509495615959
430,change,laundering,-0.9725686367601156
431,change,transforming,-0.6970606744289398
432,change,yielding,-0.8518026173114777
433,channel,sound,-0.979191018268466
434,chaos,death,-0.7498561143875122
435,chapel,porch,-0.7835397124290466
436,chapel,ruin,-0.8244008868932724
437,charcoal,fuel,-0.7391333281993866
438,charge,damage,-0.8956311270594597
439,charge,sentence,-0.6696913242340088
440,checked,checked,0.0
441,cheer,musician,-0.8783584237098694
442,cheese,food,-0.7023122310638428
443,cheetah,flame,-0.8863039687275887
444,chemical,intermediate,-0.9257530346512794
445,chemistry,patient,-0.8771919831633568
446,cherry,fruit,-0.45866984128952026
447,cherry,grape,-0.4688984751701355
448,cherry,lamb,-0.6506564021110535
449,cherry,meat,-0.7638617753982544
450,cherry,orange,-0.5224507749080658
451,cherry,raspberry,-0.40717536211013794
452,chess,family,-0.9854435222223401
453,chess,toy,-0.8727720528841019
454,chicken,lamb,-0.3126324415206909
455,chicken,poultry,-0.624364972114563
456,chief,guru,-0.6411466300487518
457,child,lad,-0.7805025428533554
458,child,street,-0.9622653387486935
459,chile,plate,-0.8602381348609924
460,chocolate,rock,-0.8282425552606583
461,choice,option,-0.5883969366550446
462,chopper,poppy,-0.9132797718048096
463,chord,play,-0.8937030881643295
464,christmas,valentine,-0.7749344110488892
465,church,porch,-0.9011745750904083
466,church,temple,-0.5729748606681824
467,circle,oval,-0.6952696740627289
468,circle,sport,-0.9135429784655571
469,city,round,-0.9293561801314354
470,city,ruin,-0.920126311480999
471,city,sidewalk,-0.8829863891005516
472,city,square,-0.7843494862318039
473,city,urban,-0.8187061101198196
474,class,sex,-0.7617819309234619
475,cliff,coast,-0.7799879312515259
476,cliff,harbour,-0.6361658573150635
477,cliff,waterfall,-0.7165036201477051
478,clinic,session,-0.9400874376296997
479,clock,timer,-0.5920215249061584
480,close,short,-0.8501559197902679
481,closed,closed,0.0
482,closed,state,-0.9504902064800262
483,closed,up,-0.8331442028284073
484,closing,closing,0.0
485,closing,finale,-0.7854156941175461
486,clothes,short,-0.9314376190304756
487,cloud,energy,-0.922897145152092
488,club,hockey,-0.6441038250923157
489,club,shirt,-0.9195521324872971
490,clubhouse,pop,-0.9284831583499908
491,clue,parish,-0.9832037631422281
492,coast,scenery,-0.9655905291438103
493,coast,sunk,-0.7043483555316925
494,coast,zebra,-0.9209904670715332
495,coat,resurfacing,-0.9352920800447464
496,coat,roof,-0.7830289900302887
497,cock,penis,-0.8959556967020035
498,cocktail,garage,-0.9009653776884079
499,cocktail,restaurant,-0.6713529229164124
500,coffee,meeting,-0.9169403985142708
501,coffee,tea,-0.464283287525177
502,coin,gold,-0.5957388877868652
503,coin,silver,-0.7027256786823273
504,coin,ticket,-0.8796998634934425
505,cold,mist,-0.6083941459655762
506,cold,rain,-0.6147610247135162
507,cold,silver,-0.9494295828044415
508,cold,sunny,-0.6454743146896362
509,cold,sunshine,-0.5848293006420135
510,cold,water,-0.6427530646324158
511,cold,weather,-0.6145848035812378
512,cold,winter,-0.6291543245315552
513,coldness,cool,-0.8773645535111427
514,collage,exhibition,-0.7025407552719116
515,collage,paint,-0.7060907483100891
516,collage,sculpture,-0.6075713634490967
517,collage,stream,-0.8695691525936127
518,collapse,shock,-0.7681012153625488
519,collar,tiger,-0.8735926151275635
520,collect,collect,0.0
521,collect,scrape,-0.8124696463346481
522,collection,library,-0.6549406349658966
523,collection,packet,-0.9032230898737907
524,color,quality,-0.8120391517877579
525,color,wash,-0.7760362774133682
526,colorful,outfit,-0.6709702610969543
527,colorful,shot,-1.016283955425024
528,colorful,toy,-0.8034234344959259
529,colorful,wood,-0.7785696685314178
530,colors,emblem,-0.7877458035945892
531,colour,grey,-0.7279057800769806
532,colour,shade,-0.7386633157730103
533,comfort,relief,-0.733771800994873
534,comment,mention,-0.6710667014122009
535,commercial,manufacture,-0.7565473467111588
536,commitment,guarantee,-0.6888853907585144
537,communication,theater,-0.9090059474110603
538,compact,short,-0.8453056514263153
539,company,distributor,-0.491487979888916
540,compartment,stalls,-0.8197868466377258
541,compatible,software,-0.5503343641757965
542,competes,race,-0.763744443655014
543,compound,enhance,-0.9983679264551029
544,compound,whole,-0.9487656019628048
545,computer,lab,-0.7470653653144836
546,computer,number,-0.9075156003236771
547,computer,platform,-0.8203271478414536
548,computer,railway,-0.8762599378824234
549,concentration,focus,-0.8056312650442123
550,concert,jazz,-0.4730936884880066
551,concert,sing,-0.6838449239730835
552,concerts,settle,-1.0169139113277197
553,conclusion,judgment,-0.6588772833347321
554,conclusion,situation,-0.7431307435035706
555,concoct,request,-0.9589295126497746
556,concrete,interior,-0.8528039306402206
557,concrete,pin,-0.9168054908514023
558,cone,palm,-1.0108412373811007
559,congress,sex,-0.8991888538002968
560,connection,keyboard,-0.8748478889465332
561,consequences,position,-0.8387375921010971
562,consistency,phase,-0.8850564658641815
563,construction,downtown,-0.6852870285511017
564,construction,interior,-0.9457556791603565
565,contact,print,-0.9833647012710571
566,control,driving,-0.9441924132406712
567,cooking,dessert,-0.5776020288467407
568,cooking,eat,-0.661801666021347
569,cooking,food,-0.5601759850978851
570,cooking,frozen,-0.6897964477539062
571,cooking,salad,-0.538855105638504
572,cool,cool,0.0
573,cool,jazz,-0.8341268748044968
574,cool,state,-1.0023238938301802
575,cop,dirty,-0.6859154403209686
576,cop,music,-0.8765762746334076
577,cop,ruin,-0.8902853205800056
578,cord,eclipse,-0.9374176487326622
579,corn,pepper,-0.5576490163803101
580,cost,price,-0.6267083287239075
581,costume,halloween,-0.593457043170929
582,costume,radiation,-0.9331374764442444
583,cottage,patio,-0.6488593816757202
584,council,minister,-0.6241620779037476
585,count,investigation,-0.6969637870788574
586,count,number,-0.790962740778923
587,counter,furniture,-0.8788255900144577
588,counter,negative,-0.7504072338342667
589,couple,family,-0.669308990240097
590,couple,makeup,-0.9880653638392687
591,couple,race,-0.9834862072020769
592,cousin,relation,-0.823840394616127
593,cover,feather,-0.9069475159049034
594,cover,sleeve,-0.8063484728336334
595,covering,skin,-0.7297791838645935
596,cowboys,ranch,-0.877130351960659
597,crack,cracking,-0.38984471559524536
598,cracking,noise,-0.7790235280990601
599,cracking,sound,-0.7904615849256516
600,craft,game,-0.9827318694442511
601,crane,stair,-0.7755065858364105
602,crash,swing,-0.8632337599992752
603,creation,stitch,-0.8169659078121185
604,credit,flap,-0.9555559232831001
605,credit,foundation,-0.8737895786762238
606,crew,unit,-0.8670635968446732
607,critic,reviewers,-0.7373058199882507
608,crochet,family,-0.8750328198075294
609,crochet,jewelry,-0.8250256329774857
610,crochet,knitting,-0.5215406715869904
611,cross,mug,-1.0265156533569098
612,cross,post,-0.8878932669758797
613,cross,pub,-0.9758742637932301
614,cross,shopping,-0.9830949921160936
615,crush,push,-0.7619786113500595
616,crush,split,-0.7815618067979813
617,crystal,spiral,-0.9105344712734222
618,cube,dice,-0.6724123060703278
619,cup,handbag,-0.9304768741130829
620,curb,smother,-0.6605011820793152
621,curb,train,-0.9782785791903734
622,current,flow,-0.8373451381921768
623,cut,gore,-0.9300685375928879
624,cute,fashion,-0.7842196822166443
625,cute,friend,-0.8260162472724915
626,cute,fun,-0.664949357509613
627,cute,haircut,-0.6975087821483612
628,cylinder,pen,-0.8115371018648148
629,daisy,foliage,-0.8144822716712952
630,daisy,grass,-0.7997561693191528
631,daisy,petal,-0.7268014848232269
632,dance,hotel,-0.8740019649267197
633,dandelion,foliage,-0.7473599016666412
634,dandelion,grass,-0.7138950228691101
635,dandelion,petal,-0.8127039819955826
636,danger,status,-0.8098756819963455
637,dark,flamingo,-0.889970600605011
638,dark,pod,-0.896167941391468
639,dark,white,-0.6688105165958405
640,dashboard,protection,-0.9161324501037598
641,daughter,graphic,-1.0299810115247965
642,daughter,pub,-0.9362291917204857
643,dawn,day,-0.6304002404212952
644,day,glide,-0.8748517781496048
645,day,horse,-0.947359710931778
646,day,independence,-0.7849949449300766
647,day,night,-0.5713909268379211
648,day,sunny,-0.754152312874794
649,day,sunset,-0.7276161015033722
650,day,weather,-0.8311934173107147
651,dead,sidewalk,-0.8473900109529495
652,deaf,people,-0.8435935378074646
653,death,funeral,-0.6233698725700378
654,decision,option,-0.5763613283634186
655,decoration,tulip,-0.7950288206338882
656,defeat,ending,-0.7123078107833862
657,defeated,people,-1.0333147794008255
658,degree,quantity,-0.8179649859666824
659,demand,supply,-0.604788064956665
660,demolition,interior,-0.9323896691203117
661,demolition,skyscraper,-0.7768621444702148
662,demolition,tall,-0.9384588859975338
663,desert,mountain,-0.5090319812297821
664,deserve,merit,-0.5177710950374603
665,deserve,want,-0.7027369439601898
666,design,graphic,-0.7629159390926361
667,design,orange,-0.8412497192621231
668,designation,recognition,-0.6719847321510315
669,designs,intend,-0.9086313843727112
670,dessert,head,-0.894358366727829
671,dessert,salad,-0.4122444987297058
672,determination,selection,-0.9072097763419151
673,development,twist,-0.9205321818590164
674,diamond,parade,-0.954423975199461
675,diamond,short,-0.9015839248895645
676,diamond,stencil,-0.9067657813429832
677,difficulty,problem,-0.5981351137161255
678,digit,toe,-0.923776350915432
679,dilute,market,-0.8558911234140396
680,dinner,sitting,-0.7850401848554611
681,dinner,sleep,-0.799835741519928
682,direction,direction,0.0
683,direction,traveling,-0.9911194685846567
684,dirt,racing,-0.7724757194519043
685,dirt,road,-0.6145594418048859
686,dirt,sand,-0.40732133388519287
687,dirty,dude,-0.6790506839752197
688,dirty,rabbit,-0.8456845283508301
689,dirty,washing,-0.6116394698619843
690,discharge,spread,-0.9111113548278809
691,discipline,discipline,0.0
692,disk,dot,-0.84024877846241
693,display,stick,-0.9265176132321358
694,dissipate,isolate,-0.8545416295528412
695,distinction,sword,-0.8835836499929428
696,distinguish,medal,-0.9532558955252171
697,distinguish,sex,-0.8829405680298805
698,disturbance,upset,-0.9760917443782091
699,diversion,skiing,-0.9009843543171883
700,dock,herb,-0.9445358254015446
701,dog,husky,-0.750784307718277
702,dog,secretary,-0.9821584988385439
703,doll,new,-0.9168200269341469
704,dome,interior,-0.749953031539917
705,dome,uniform,-0.8978235945105553
706,donut,panda,-0.8112505972385406
707,door,interior,-0.9143439531326294
708,door,porch,-0.5863612294197083
709,door,room,-0.6567726135253906
710,downtown,field,-0.9090365022420883
711,downtown,hockey,-0.9033695086836815
712,downtown,ruin,-0.912056602537632
713,downtown,shopping,-0.5252126157283783
714,downtown,subway,-0.6500398516654968
715,drag,drawing,-0.859689012169838
716,dragon,drop,-0.9592159949243069
717,dragonfly,frog,-0.656931072473526
718,dragonfly,insect,-0.5640126764774323
719,draw,draw,0.0
720,draw,entertainer,-1.0670093074440956
721,dress,match,-0.9317295029759407
722,dress,neckline,-0.48802608251571655
723,dress,outfit,-0.4495201110839844
724,dressing,patch,-0.8070130497217178
725,drill,implement,-0.8890513256192207
726,drink,turn,-0.8712702542543411
727,dripping,hot,-0.6416701972484589
728,dripping,round,-1.0203292146325111
729,dripping,wet,-0.6538287997245789
730,drive,drive,0.0
731,drive,operate,-0.8780878037214279
732,drop,drop,0.0
733,drop,measure,-0.8683551102876663
734,drop,sink,-0.7890200763940811
735,dropping,dropping,0.0
736,drought,time,-0.8290497660636902
737,drug,reflection,-1.0015893433010206
738,drug,sing,-0.9787990264594555
739,drug,wolf,-0.9794788099825382
740,dude,fun,-0.6609377562999725
741,dude,hanging,-0.799065351486206
742,dude,sitting,-0.8861000239849091
743,dude,smile,-0.7602951377630234
744,dusk,hummingbird,-0.898014098405838
745,dusk,misty,-0.612284392118454
746,dye,kiss,-0.8024246543645859
747,eagle,feather,-0.625179797410965
748,ear,organ,-0.7014287114143372
749,earn,make,-0.7099050879478455
750,ease,relaxation,-0.6899160146713257
751,ease,rest,-0.8818962946534157
752,east,israel,-0.7588661015033722
753,easter,preference,-0.8963779881596565
754,eat,rabbit,-0.7508574277162552
755,eat,soup,-0.6085571348667145
756,eat,truck,-0.9667401425540447
757,educated,learned,-0.8702312707901001
758,effects,effects,0.0
